iter	Passed	Remaining
0	146	146569
1	147	73542
2	147	49171
3	148	36967
4	148	29638
5	149	24751
6	149	21259
7	150	18643
8	150	16605
9	151	14975
10	151	13641
11	152	12530
12	152	11589
13	153	10782
14	153	10083
15	154	9472
16	154	8932
17	154	8452
18	155	8023
19	155	7636
20	156	7289
21	156	6972
22	157	6681
23	157	6415
24	158	6170
25	158	5944
26	159	5734
27	159	5539
28	160	5358
29	160	5188
30	160	5030
31	161	4881
32	161	4742
33	162	4611
34	162	4487
35	163	4370
36	163	4259
37	164	4154
38	164	4055
39	165	3960
40	165	3870
41	165	3785
42	166	3703
43	166	3625
44	167	3550
45	167	3479
46	168	3410
47	168	3345
48	169	3282
49	169	3223
50	170	3167
51	170	3112
52	171	3058
53	171	3006
54	172	2956
55	172	2908
56	173	2862
57	173	2817
58	173	2774
59	174	2732
60	174	2692
61	175	2653
62	175	2615
63	176	2579
64	176	2543
65	177	2508
66	177	2474
67	177	2439
68	178	2407
69	178	2376
70	179	2346
71	179	2317
72	180	2288
73	180	2261
74	181	2233
75	181	2208
76	182	2182
77	182	2157
78	183	2133
79	183	2110
80	183	2086
81	184	2064
82	184	2042
83	185	2020
84	185	1997
85	186	1977
86	186	1955
87	186	1936
88	187	1917
89	187	1898
90	188	1879
91	188	1861
92	189	1844
93	189	1826
94	189	1809
95	190	1793
96	190	1777
97	191	1761
98	191	1745
99	192	1730
100	192	1715
101	192	1698
102	193	1684
103	193	1670
104	194	1656
105	194	1642
106	195	1629
107	195	1616
108	196	1603
109	196	1591
110	197	1578
111	197	1566
112	198	1554
113	198	1542
114	198	1530
115	199	1518
116	199	1507
117	200	1496
118	200	1484
119	201	1474
120	201	1463
121	201	1453
122	202	1441
123	202	1431
124	203	1421
125	203	1411
126	203	1402
127	204	1391
128	204	1382
129	205	1373
130	205	1364
131	206	1355
132	206	1346
133	206	1337
134	207	1329
135	207	1320
136	208	1312
137	208	1303
138	209	1295
139	209	1287
140	210	1280
141	210	1272
142	211	1264
143	211	1257
144	211	1249
145	212	1242
146	212	1235
