iter	Passed	Remaining
0	0	791
1	1	677
2	1	634
3	2	613
4	3	615
5	3	622
6	4	624
7	5	637
8	5	650
9	6	651
10	7	643
11	7	636
12	8	630
13	8	622
14	9	615
15	9	610
16	10	605
17	11	601
18	11	597
19	12	593
20	12	589
21	13	584
22	13	580
23	14	576
24	14	573
25	15	571
26	15	569
27	16	566
28	16	564
29	17	563
30	17	562
31	18	560
32	19	559
33	19	557
34	20	555
35	20	556
36	21	556
37	21	554
38	22	553
39	22	551
40	23	550
41	24	548
42	24	547
43	25	546
44	25	545
45	26	543
46	26	542
47	27	541
48	27	540
49	28	538
50	28	537
51	29	536
52	29	534
53	30	533
54	31	532
55	31	533
56	32	533
57	32	532
58	33	531
59	33	530
60	34	528
61	34	527
62	35	527
63	36	527
64	36	527
65	37	526
66	37	526
67	38	525
68	38	525
69	39	525
70	40	525
71	40	524
72	41	523
73	41	522
74	42	521
75	42	520
76	43	519
77	43	518
78	44	517
79	44	516
80	45	515
81	46	515
82	46	511
83	46	510
84	47	509
85	47	509
86	48	508
87	48	507
88	49	506
89	50	508
90	50	508
91	51	507
92	51	506
93	52	505
94	53	505
95	53	504
96	54	503
97	54	503
98	55	502
99	55	501
100	56	500
101	56	499
102	57	498
103	57	498
104	58	497
105	58	496
106	59	495
107	59	494
108	60	493
109	60	491
110	61	490
111	61	489
112	62	487
113	62	486
114	63	485
115	63	483
116	63	481
117	64	480
118	64	479
119	65	478
120	65	478
121	66	477
122	66	476
123	67	475
124	67	475
125	68	474
126	68	473
127	69	472
128	69	471
129	70	470
130	70	468
131	71	467
132	71	466
133	72	465
134	72	464
135	72	463
136	73	462
137	73	461
138	74	460
139	74	458
140	75	457
141	75	455
142	75	454
143	76	453
144	76	452
145	77	451
146	77	450
147	78	449
148	78	448
149	79	447
150	79	446
151	79	445
152	80	445
153	81	449
154	82	449
155	82	448
156	83	447
157	83	446
158	84	445
159	84	445
160	85	443
161	85	442
162	85	441
163	86	440
164	86	439
165	87	438
166	87	437
167	88	436
168	88	435
169	89	434
170	89	434
171	89	433
172	90	432
173	90	431
174	91	430
175	91	429
176	92	428
177	92	427
178	93	426
179	93	425
180	93	424
181	94	424
182	95	424
183	95	424
184	96	424
185	96	423
186	97	423
187	97	422
188	98	422
189	98	421
190	99	421
191	99	420
192	100	419
193	100	419
194	101	418
195	101	417
196	102	417
197	102	416
198	103	415
199	103	414
200	104	413
201	104	412
202	104	412
203	105	411
204	105	410
205	106	409
206	106	408
207	107	408
208	107	407
209	108	406
210	108	405
211	108	404
212	109	404
213	110	404
214	110	404
215	111	403
216	111	403
217	112	402
218	112	402
219	113	401
220	113	401
221	114	400
222	114	400
223	115	399
224	115	398
225	116	398
226	116	397
227	117	396
228	117	395
229	118	395
230	118	394
231	118	393
232	119	393
233	119	392
234	120	391
235	120	391
236	121	390
237	121	389
238	122	388
239	122	388
240	122	387
241	123	386
242	123	385
243	124	385
244	124	384
245	126	386
246	126	386
247	127	385
248	127	385
249	128	384
250	128	384
251	129	383
252	129	382
253	130	382
254	130	381
255	131	380
256	131	380
257	131	379
258	132	378
259	132	378
260	133	377
261	133	376
262	134	376
263	134	375
264	135	374
265	135	374
266	136	373
267	136	372
268	136	372
269	137	371
270	137	370
271	138	370
272	138	369
273	139	369
274	139	368
275	140	368
276	140	367
277	141	367
278	141	366
279	142	365
280	142	365
281	143	364
282	143	364
283	144	363
284	144	362
285	145	362
286	145	361
287	145	360
288	146	360
289	146	359
290	147	358
291	147	358
292	148	357
293	148	356
294	149	356
295	149	355
296	149	355
297	150	354
298	150	353
299	151	353
300	151	352
301	152	351
302	152	351
303	153	350
304	153	350
305	154	349
306	154	348
307	155	348
308	155	348
309	156	347
310	156	346
311	157	346
312	157	345
313	157	344
314	158	344
315	158	343
316	159	343
317	159	342
318	160	341
319	160	341
320	161	340
321	161	340
322	161	339
323	162	338
324	162	338
325	163	337
326	163	337
327	164	336
328	164	335
329	165	335
330	165	334
331	165	333
332	166	333
333	166	332
334	167	332
335	167	331
336	168	331
337	168	330
338	169	329
339	169	329
340	170	328
341	170	328
342	171	327
343	171	327
344	172	326
345	172	325
346	172	325
347	173	324
348	173	324
349	174	323
350	174	322
351	175	322
352	175	321
353	175	321
354	176	320
355	176	319
356	177	319
357	177	318
358	178	318
359	178	317
360	179	317
361	179	316
362	180	316
363	180	315
364	181	315
365	181	314
366	182	314
367	182	313
368	183	313
369	183	312
370	183	311
371	184	311
372	184	310
373	185	310
374	185	309
375	186	309
376	186	308
377	187	308
378	187	307
379	188	307
380	188	306
381	189	305
382	189	305
383	190	304
384	190	304
385	190	303
386	191	303
387	191	302
388	192	301
389	192	301
390	193	300
391	193	300
392	194	299
393	194	299
394	194	298
395	195	298
396	195	297
397	196	296
398	196	296
399	197	295
400	197	295
401	198	294
402	198	294
403	198	293
404	199	293
405	200	292
406	200	292
407	201	291
408	201	291
409	201	290
410	202	290
411	202	289
412	203	288
413	203	288
414	204	287
415	204	287
416	205	286
417	205	286
418	205	285
419	206	285
420	206	284
421	207	283
422	207	283
423	208	282
424	208	282
425	209	282
426	209	281
427	210	281
428	211	281
429	211	280
430	212	280
431	212	279
432	213	279
433	213	278
434	214	278
435	214	277
436	215	277
437	216	277
438	216	276
439	216	276
440	217	275
441	217	274
442	218	274
443	218	273
444	219	273
445	219	272
446	220	272
447	220	271
448	220	271
449	221	270
450	221	270
451	222	269
452	222	268
453	223	268
454	223	267
455	224	267
456	224	266
457	225	266
458	225	265
459	225	265
